Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018
Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018
Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018
Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018
Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018
Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018
Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018
New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018
Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018
Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018
United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018
Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018
Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018
Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018
Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018
Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018
United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018
Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018
United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,,2018
Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018
Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018
France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018
Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018
Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018
Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018
Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018
Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018
Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018
Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018
Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018
Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018
Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018
Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018
Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018
Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018
Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018
Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018
El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018
Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018
